YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.15,89.87,20.5,2.52,81.8,100.96
2020,1,1,1,0.0,0.0,-999.0,90.0,0.19,91.65,20.29,2.35,78.0,100.88
2020,1,1,2,0.0,0.0,-999.0,90.0,0.16,93.19,20.07,2.33,73.5,100.82
2020,1,1,3,0.0,0.0,-999.0,90.0,0.18,93.99,19.92,2.3,69.7,100.82
2020,1,1,4,0.0,0.0,-999.0,90.0,0.19,94.28,19.82,2.35,66.9,100.87
2020,1,1,5,0.0,0.0,-999.0,90.0,0.26,94.21,19.73,2.43,65.2,100.97
2020,1,1,6,0.11,0.12,0.29,85.51,0.24,92.12,19.99,2.9,66.2,101.08
2020,1,1,7,0.74,0.76,0.5,73.07,0.28,84.21,21.72,3.61,72.1,101.2
2020,1,1,8,1.46,1.48,0.6,61.32,0.12,74.63,24.32,4.33,83.9,101.27
2020,1,1,9,2.1,2.12,0.66,51.07,0.15,65.88,26.84,4.56,92.9,101.25
2020,1,1,10,2.27,2.53,0.62,43.4,0.17,59.81,28.74,4.54,98.7,101.18
2020,1,1,11,2.02,2.56,0.52,39.86,0.17,55.65,29.97,4.49,103.1,101.06
2020,1,1,12,1.79,2.47,0.47,41.51,0.17,53.16,30.58,4.5,105.6,100.92
2020,1,1,13,1.71,2.15,0.5,47.81,0.16,52.46,30.6,4.6,106.7,100.81
2020,1,1,14,1.25,1.59,0.46,57.25,0.14,53.26,30.12,4.62,107.0,100.76
2020,1,1,15,0.74,0.93,0.4,68.54,0.12,56.28,29.14,4.42,106.3,100.78
2020,1,1,16,0.28,0.31,0.34,80.6,0.1,63.63,27.46,3.59,103.0,100.86
2020,1,1,17,0.0,0.0,-999.0,90.0,0.1,73.68,25.5,2.78,98.7,100.96
2020,1,1,18,0.0,0.0,-999.0,90.0,0.09,78.29,24.73,3.06,93.9,101.06
2020,1,1,19,0.0,0.0,-999.0,90.0,0.08,83.86,23.87,2.61,88.0,101.16
2020,1,1,20,0.0,0.0,-999.0,90.0,0.07,88.36,23.17,2.35,82.2,101.21
2020,1,1,21,0.0,0.0,-999.0,90.0,0.07,91.82,22.62,2.21,77.5,101.2
2020,1,1,22,0.0,0.0,-999.0,90.0,0.07,94.34,22.21,2.17,73.4,101.17
2020,1,1,23,0.0,0.0,-999.0,90.0,0.09,95.74,21.94,2.21,70.2,101.12
2020,1,2,0,0.0,0.0,-999.0,90.0,0.08,96.07,21.77,2.3,67.5,101.06
2020,1,2,1,0.0,0.0,-999.0,90.0,0.11,95.96,21.63,2.46,64.3,100.98
2020,1,2,2,0.0,0.0,-999.0,90.0,0.1,95.35,21.56,2.7,63.8,100.94
2020,1,2,3,0.0,0.0,-999.0,90.0,0.12,95.29,21.41,2.65,63.3,100.95
2020,1,2,4,0.0,0.0,-999.0,90.0,0.11,95.72,21.15,2.5,62.4,100.99
2020,1,2,5,0.0,0.0,-999.0,90.0,0.12,95.94,20.91,2.42,61.8,101.08
2020,1,2,6,0.1,0.13,0.24,85.57,0.13,93.29,21.23,2.79,62.0,101.19
2020,1,2,7,0.53,0.82,0.36,73.13,0.16,83.87,23.26,3.7,71.9,101.29
2020,1,2,8,1.01,1.57,0.42,61.36,0.5,73.21,26.08,4.64,87.7,101.33
2020,1,2,9,1.4,2.19,0.44,51.08,0.6,64.86,28.25,4.79,94.9,101.3
2020,1,2,10,1.54,2.59,0.42,43.38,0.77,59.14,29.73,4.83,98.9,101.21
2020,1,2,11,1.26,2.48,0.32,39.78,1.04,55.14,30.69,4.88,102.3,101.06
2020,1,2,12,1.39,2.43,0.37,41.4,1.25,52.95,31.07,4.89,104.9,100.91
2020,1,2,13,1.2,2.13,0.35,47.68,1.03,52.3,30.94,4.79,105.4,100.8
2020,1,2,14,0.88,1.62,0.32,57.12,0.93,53.62,30.33,4.52,106.3,100.77
2020,1,2,15,0.48,0.93,0.26,68.4,0.75,58.04,29.08,4.19,107.7,100.82
2020,1,2,16,0.17,0.3,0.21,80.45,0.52,64.87,27.54,3.41,107.4,100.9
2020,1,2,17,0.0,0.0,-999.0,90.0,0.53,75.03,25.65,2.23,106.4,100.98
2020,1,2,18,0.0,0.0,-999.0,90.0,0.41,80.11,24.81,2.11,104.2,101.06
2020,1,2,19,0.0,0.0,-999.0,90.0,0.29,84.71,24.12,1.88,98.9,101.13
2020,1,2,20,0.0,0.0,-999.0,90.0,0.28,87.49,23.71,2.05,94.2,101.15
2020,1,2,21,0.0,0.0,-999.0,90.0,0.27,90.22,23.34,2.11,91.6,101.12
2020,1,2,22,0.0,0.0,-999.0,90.0,0.27,93.34,22.92,1.88,89.1,101.06
2020,1,2,23,0.0,0.0,-999.0,90.0,0.29,95.54,22.61,1.56,84.5,101.02
2020,1,3,0,0.0,0.0,-999.0,90.0,0.31,96.35,22.48,1.44,82.0,100.95
2020,1,3,1,0.0,0.0,-999.0,90.0,0.32,96.91,22.38,1.4,85.1,100.87
2020,1,3,2,0.0,0.0,-999.0,90.0,0.24,97.58,22.25,1.32,86.1,100.82
2020,1,3,3,0.0,0.0,-999.0,90.0,0.16,97.63,22.25,1.37,86.2,100.81
2020,1,3,4,0.0,0.0,-999.0,90.0,0.1,96.95,22.41,1.54,90.4,100.85
2020,1,3,5,0.0,0.0,-999.0,90.0,0.07,96.9,22.49,1.55,94.1,100.92
2020,1,3,6,0.08,0.12,0.22,85.63,0.08,94.88,23.02,1.89,97.0,101.01
2020,1,3,7,0.47,0.77,0.32,73.19,0.14,87.69,24.65,2.67,102.8,101.1
2020,1,3,8,0.97,1.49,0.4,61.4,10.43,78.01,26.53,2.92,119.6,101.15
2020,1,3,9,1.26,2.1,0.4,51.09,10.92,68.87,28.37,2.91,133.5,101.12
2020,1,3,10,1.65,2.5,0.45,43.34,14.38,61.21,30.04,2.83,147.5,101.02
2020,1,3,11,1.82,2.58,0.47,39.7,20.12,57.54,30.89,2.75,160.2,100.87
2020,1,3,12,1.72,2.5,0.45,41.28,24.05,55.96,31.26,2.51,172.0,100.74
2020,1,3,13,1.5,2.2,0.44,47.55,24.67,55.48,31.23,2.26,179.2,100.65
2020,1,3,14,0.84,1.68,0.3,56.98,23.6,56.6,30.76,2.13,183.2,100.6
2020,1,3,15,0.5,1.02,0.27,68.26,16.6,59.7,29.95,1.92,183.3,100.61
2020,1,3,16,0.14,0.34,0.17,80.28,13.64,71.03,28.28,1.32,174.3,100.67
2020,1,3,17,0.0,0.0,-999.0,90.0,11.83,85.54,25.97,0.99,164.1,100.72
2020,1,3,18,0.0,0.0,-999.0,90.0,10.8,87.88,25.14,1.2,159.4,100.79
2020,1,3,19,0.0,0.0,-999.0,90.0,10.52,90.41,24.55,1.26,157.5,100.84
2020,1,3,20,0.0,0.0,-999.0,90.0,9.35,92.85,24.08,1.11,155.0,100.86
2020,1,3,21,0.0,0.0,-999.0,90.0,7.94,94.73,23.65,0.9,150.6,100.86
2020,1,3,22,0.0,0.0,-999.0,90.0,6.41,95.71,23.35,0.72,144.1,100.82
2020,1,3,23,0.0,0.0,-999.0,90.0,5.22,95.76,23.16,0.61,135.0,100.77
2020,1,4,0,0.0,0.0,-999.0,90.0,5.83,95.11,23.07,0.53,119.5,100.72
2020,1,4,1,0.0,0.0,-999.0,90.0,8.05,94.56,23.03,0.45,95.1,100.67
2020,1,4,2,0.0,0.0,-999.0,90.0,10.19,95.12,22.88,0.42,63.4,100.65
2020,1,4,3,0.0,0.0,-999.0,90.0,10.63,96.0,22.64,0.5,47.4,100.65
2020,1,4,4,0.0,0.0,-999.0,90.0,11.65,96.82,22.4,0.56,45.7,100.71
2020,1,4,5,0.0,0.0,-999.0,90.0,10.53,97.36,22.2,0.61,46.3,100.78
2020,1,4,6,0.06,0.11,0.16,85.68,11.12,96.62,22.56,0.98,42.9,100.87
2020,1,4,7,0.39,0.71,0.27,73.24,12.52,93.32,23.46,1.71,48.6,100.95
2020,1,4,8,0.78,1.44,0.32,61.43,1.16,87.75,24.68,1.86,67.3,100.99
2020,1,4,9,1.18,2.08,0.37,51.09,1.98,78.05,26.36,1.77,86.1,100.96
2020,1,4,10,1.04,2.52,0.28,43.3,2.7,69.55,27.94,1.46,100.7,100.86
2020,1,4,11,1.03,2.48,0.26,39.62,3.07,64.87,28.96,1.25,108.1,100.73
2020,1,4,12,0.92,2.42,0.24,41.15,2.99,62.16,29.58,1.3,114.0,100.58
2020,1,4,13,1.14,2.1,0.33,47.41,2.12,61.47,29.72,1.57,119.0,100.47
2020,1,4,14,0.91,1.56,0.33,56.83,1.69,63.59,29.21,1.93,123.4,100.42
2020,1,4,15,0.56,0.91,0.3,68.12,1.74,68.06,28.25,2.22,124.2,100.43
2020,1,4,16,0.2,0.3,0.23,80.12,2.08,77.1,26.69,1.93,122.9,100.5
2020,1,4,17,0.0,0.0,-999.0,90.0,2.53,86.07,25.17,1.72,118.8,100.6
2020,1,4,18,0.0,0.0,-999.0,90.0,3.28,89.52,24.5,1.97,111.1,100.7
2020,1,4,19,0.0,0.0,-999.0,90.0,3.91,91.85,24.03,2.12,100.6,100.79
2020,1,4,20,0.0,0.0,-999.0,90.0,3.79,93.1,23.62,2.14,88.9,100.85
2020,1,4,21,0.0,0.0,-999.0,90.0,4.2,93.77,23.19,2.18,79.4,100.85
2020,1,4,22,0.0,0.0,-999.0,90.0,6.04,94.13,22.73,2.26,73.3,100.81
2020,1,4,23,0.0,0.0,-999.0,90.0,8.0,94.52,22.29,2.3,67.8,100.77
2020,1,5,0,0.0,0.0,-999.0,90.0,10.18,94.83,21.93,2.27,59.3,100.73
2020,1,5,1,0.0,0.0,-999.0,90.0,11.48,95.0,21.62,2.23,49.7,100.69
2020,1,5,2,0.0,0.0,-999.0,90.0,12.6,95.23,21.32,2.19,43.3,100.66
2020,1,5,3,0.0,0.0,-999.0,90.0,10.94,95.27,21.09,2.21,38.4,100.68
2020,1,5,4,0.0,0.0,-999.0,90.0,8.41,95.45,20.85,2.11,36.3,100.74
2020,1,5,5,0.0,0.0,-999.0,90.0,7.07,95.71,20.6,2.03,37.2,100.82
2020,1,5,6,0.08,0.1,0.2,85.73,6.78,94.98,20.65,2.36,34.0,100.92
2020,1,5,7,0.49,0.64,0.34,73.29,6.21,91.86,21.41,2.84,31.9,101.02
2020,1,5,8,0.98,1.3,0.41,61.45,2.14,84.94,22.75,3.28,37.3,101.08
2020,1,5,9,1.6,1.89,0.5,51.08,2.53,75.3,24.42,3.47,38.7,101.08
2020,1,5,10,1.84,2.3,0.5,43.25,2.92,67.1,25.92,3.38,37.9,101.01
2020,1,5,11,1.72,2.51,0.44,39.52,2.54,62.22,26.94,3.14,38.7,100.9
2020,1,5,12,1.42,2.51,0.37,41.02,1.89,59.43,27.58,2.91,41.1,100.79
2020,1,5,13,1.22,2.21,0.35,47.26,1.52,58.19,27.85,2.73,47.1,100.71
2020,1,5,14,1.07,1.69,0.38,56.69,1.45,58.2,27.83,2.61,57.0,100.68
2020,1,5,15,0.59,0.97,0.31,67.98,1.47,60.96,27.3,2.4,66.1,100.69
2020,1,5,16,0.22,0.34,0.25,79.95,1.78,72.42,25.79,1.47,75.9,100.75
2020,1,5,17,0.0,0.0,-999.0,90.0,1.91,81.43,23.97,1.27,85.9,100.82
2020,1,5,18,0.0,0.0,-999.0,90.0,1.41,83.87,23.33,1.5,90.0,100.92
2020,1,5,19,0.0,0.0,-999.0,90.0,0.92,86.38,22.78,1.64,91.7,101.0
2020,1,5,20,0.0,0.0,-999.0,90.0,0.46,88.18,22.37,1.82,90.9,101.04
2020,1,5,21,0.0,0.0,-999.0,90.0,0.32,90.0,21.96,1.9,87.9,101.06
2020,1,5,22,0.0,0.0,-999.0,90.0,0.25,91.77,21.56,1.86,86.0,101.03
2020,1,5,23,0.0,0.0,-999.0,90.0,0.21,92.72,21.25,2.07,83.6,100.97
2020,1,6,0,0.0,0.0,-999.0,90.0,0.21,93.8,21.0,2.12,76.9,100.93
2020,1,6,1,0.0,0.0,-999.0,90.0,0.18,94.77,20.77,2.04,69.6,100.89
2020,1,6,2,0.0,0.0,-999.0,90.0,0.13,95.03,20.63,2.13,70.2,100.85
2020,1,6,3,0.0,0.0,-999.0,90.0,0.14,94.87,20.57,2.32,71.2,100.86
2020,1,6,4,0.0,0.0,-999.0,90.0,0.17,95.32,20.46,2.32,68.0,100.94
2020,1,6,5,0.0,0.0,-999.0,90.0,0.14,95.85,20.32,2.24,62.3,101.05
2020,1,6,6,0.08,0.11,0.22,85.78,0.16,94.12,20.66,2.61,55.5,101.18
2020,1,6,7,0.52,0.77,0.36,73.33,0.15,87.13,22.12,3.19,52.4,101.3
2020,1,6,8,1.05,1.52,0.44,61.47,0.01,73.89,24.43,4.04,64.6,101.37
2020,1,6,9,1.42,2.15,0.45,51.07,0.01,63.1,26.59,4.41,73.7,101.35
2020,1,6,10,1.85,2.58,0.5,43.2,0.02,56.67,28.17,4.38,79.9,101.25
2020,1,6,11,1.99,2.49,0.51,39.42,0.03,52.79,29.2,4.24,85.1,101.09
2020,1,6,12,1.73,2.41,0.45,40.88,0.03,51.05,29.65,4.08,90.1,100.94
2020,1,6,13,1.57,2.1,0.45,47.11,0.03,50.62,29.65,4.01,94.9,100.84
2020,1,6,14,1.11,1.57,0.4,56.53,0.02,51.59,29.2,3.94,98.9,100.82
2020,1,6,15,0.61,0.9,0.32,67.84,0.01,54.38,28.28,3.75,103.0,100.85
2020,1,6,16,0.2,0.29,0.22,79.77,0.0,61.19,26.65,3.04,107.6,100.91
2020,1,6,17,0.0,0.0,-999.0,90.0,0.0,70.45,24.45,2.5,113.1,100.98
2020,1,6,18,0.0,0.0,-999.0,90.0,0.0,75.05,23.39,2.64,114.8,101.09
2020,1,6,19,0.0,0.0,-999.0,90.0,0.0,79.55,22.55,2.48,112.3,101.16
2020,1,6,20,0.0,0.0,-999.0,90.0,0.0,83.51,21.89,2.17,106.0,101.19
2020,1,6,21,0.0,0.0,-999.0,90.0,0.0,86.54,21.39,1.98,96.9,101.19
2020,1,6,22,0.0,0.0,-999.0,90.0,0.01,87.33,21.19,2.18,90.8,101.17
2020,1,6,23,0.0,0.0,-999.0,90.0,0.01,88.27,21.0,2.25,84.6,101.14
2020,1,7,0,0.0,0.0,-999.0,90.0,0.02,89.42,20.76,2.24,77.4,101.1
2020,1,7,1,0.0,0.0,-999.0,90.0,0.02,90.32,20.53,2.33,72.3,101.05
2020,1,7,2,0.0,0.0,-999.0,90.0,0.02,91.33,20.25,2.34,68.9,101.02
2020,1,7,3,0.0,0.0,-999.0,90.0,0.01,92.56,19.9,2.16,67.7,101.0
2020,1,7,4,0.0,0.0,-999.0,90.0,0.01,94.22,19.46,1.9,66.4,101.02
2020,1,7,5,0.0,0.0,-999.0,90.0,0.0,95.33,19.1,1.72,64.9,101.08
2020,1,7,6,0.09,0.1,0.24,85.82,0.0,92.23,19.51,2.2,63.9,101.16
2020,1,7,7,0.59,0.7,0.41,73.37,0.0,79.62,21.78,3.02,75.2,101.22
2020,1,7,8,1.19,1.39,0.49,61.48,0.0,67.16,24.55,3.53,91.0,101.25
2020,1,7,9,1.8,1.98,0.57,51.05,0.0,59.66,26.67,3.36,93.4,101.23
2020,1,7,10,2.23,2.41,0.6,43.13,0.0,54.4,28.38,3.09,90.6,101.15
2020,1,7,11,2.17,2.5,0.55,39.31,0.0,51.51,29.38,2.89,89.2,101.02
2020,1,7,12,1.77,2.35,0.46,40.74,0.0,50.37,29.77,2.77,93.1,100.88
2020,1,7,13,1.51,2.03,0.44,46.95,0.0,50.05,29.86,2.78,99.1,100.77
2020,1,7,14,1.09,1.51,0.39,56.38,0.0,50.98,29.44,2.83,108.1,100.72
2020,1,7,15,0.69,0.89,0.36,67.69,0.0,53.89,28.52,2.85,117.6,100.72
2020,1,7,16,0.27,0.31,0.29,79.6,0.0,62.32,26.79,2.33,124.5,100.76
2020,1,7,17,0.0,0.0,-999.0,90.0,0.0,72.44,24.45,2.06,131.1,100.84
2020,1,7,18,0.0,0.0,-999.0,90.0,0.0,76.45,23.45,2.55,132.5,100.95
2020,1,7,19,0.0,0.0,-999.0,90.0,0.0,81.76,22.46,2.53,130.2,101.03
2020,1,7,20,0.0,0.0,-999.0,90.0,0.0,86.03,21.7,2.19,124.2,101.06
2020,1,7,21,0.0,0.0,-999.0,90.0,0.0,89.2,21.11,1.87,115.3,101.06
2020,1,7,22,0.0,0.0,-999.0,90.0,0.0,91.22,20.67,1.8,107.8,101.02
2020,1,7,23,0.0,0.0,-999.0,90.0,0.0,92.55,20.33,1.92,103.9,100.95
2020,1,8,0,0.0,0.0,-999.0,90.0,0.0,94.28,19.96,1.88,99.5,100.87
2020,1,8,1,0.0,0.0,-999.0,90.0,0.0,96.5,19.54,1.73,91.7,100.8
2020,1,8,2,0.0,0.0,-999.0,90.0,0.0,98.07,19.18,1.62,85.8,100.76
2020,1,8,3,0.0,0.0,-999.0,90.0,0.0,98.99,18.89,1.48,86.1,100.76
2020,1,8,4,0.0,0.0,-999.0,90.0,0.0,99.74,18.67,1.42,88.4,100.81
2020,1,8,5,0.0,0.0,-999.0,90.0,0.0,100.0,18.5,1.37,89.6,100.9
2020,1,8,6,0.12,0.13,0.34,85.86,0.0,95.14,19.41,1.9,90.0,101.0
2020,1,8,7,0.75,0.83,0.52,73.4,0.0,81.57,22.08,2.84,96.3,101.1
2020,1,8,8,1.43,1.6,0.59,61.49,0.0,67.16,25.17,3.39,110.6,101.16
2020,1,8,9,1.98,2.24,0.62,51.02,0.0,58.96,27.27,3.31,112.9,101.15
2020,1,8,10,2.23,2.68,0.6,43.07,0.0,53.25,28.86,3.03,114.4,101.05
2020,1,8,11,2.28,2.71,0.58,39.19,0.0,50.25,29.78,2.79,118.5,100.92
2020,1,8,12,2.15,2.64,0.56,40.59,0.0,49.23,30.11,2.66,124.3,100.77
2020,1,8,13,1.87,2.32,0.54,46.79,0.0,48.79,30.25,2.67,128.9,100.68
2020,1,8,14,1.41,1.78,0.5,56.22,0.0,49.35,29.9,2.68,131.7,100.65
2020,1,8,15,0.89,1.08,0.46,67.54,0.0,52.26,28.9,2.65,133.3,100.68
2020,1,8,16,0.36,0.39,0.39,79.42,0.0,61.16,27.03,2.19,135.6,100.73
2020,1,8,17,0.0,0.0,-999.0,90.0,0.0,71.23,24.64,2.05,138.8,100.8
2020,1,8,18,0.0,0.0,-999.0,90.0,0.0,74.41,23.67,2.61,138.4,100.88
2020,1,8,19,0.0,0.0,-999.0,90.0,0.0,78.71,22.74,2.49,136.3,100.96
2020,1,8,20,0.0,0.0,-999.0,90.0,0.0,82.19,22.01,2.19,133.7,100.99
2020,1,8,21,0.0,0.0,-999.0,90.0,0.0,84.65,21.45,1.98,129.9,100.96
2020,1,8,22,0.0,0.0,-999.0,90.0,0.0,87.02,20.93,1.78,125.8,100.89
2020,1,8,23,0.0,0.0,-999.0,90.0,0.0,89.31,20.45,1.51,122.3,100.83
2020,1,9,0,0.0,0.0,-999.0,90.0,0.0,91.53,20.01,1.33,120.2,100.78
2020,1,9,1,0.0,0.0,-999.0,90.0,0.0,93.46,19.64,1.19,120.2,100.73
2020,1,9,2,0.0,0.0,-999.0,90.0,0.0,95.16,19.31,1.08,121.8,100.7
2020,1,9,3,0.0,0.0,-999.0,90.0,0.0,96.65,19.05,1.0,124.8,100.71
2020,1,9,4,0.0,0.0,-999.0,90.0,0.0,97.78,18.85,0.94,128.1,100.77
2020,1,9,5,0.0,0.0,-999.0,90.0,0.0,98.53,18.73,0.89,132.3,100.86
2020,1,9,6,0.11,0.12,0.3,85.9,0.0,93.82,19.82,0.97,137.1,100.97
2020,1,9,7,0.69,0.79,0.48,73.43,0.0,77.18,23.0,1.95,147.1,101.08
2020,1,9,8,1.26,1.56,0.52,61.5,0.0,64.74,25.62,2.34,156.3,101.14
2020,1,9,9,1.7,2.2,0.53,50.99,0.0,57.0,27.51,2.07,157.5,101.13
2020,1,9,10,2.22,2.64,0.6,42.99,0.0,51.66,29.15,1.69,158.5,101.05
2020,1,9,11,2.2,2.6,0.56,39.07,0.0,49.01,30.25,1.41,160.9,100.91
2020,1,9,12,1.76,2.53,0.46,40.43,0.0,48.05,30.78,1.29,162.8,100.75
2020,1,9,13,1.69,2.21,0.49,46.62,0.0,48.02,30.89,1.22,160.4,100.64
2020,1,9,14,1.22,1.67,0.43,56.06,0.0,49.05,30.51,1.32,155.4,100.59
2020,1,9,15,0.67,0.99,0.34,67.38,0.0,51.49,29.69,1.56,148.7,100.59
2020,1,9,16,0.28,0.35,0.3,79.24,0.0,61.07,28.03,1.35,144.7,100.63
2020,1,9,17,0.0,0.0,-999.0,90.0,0.0,72.08,25.43,1.34,143.8,100.69
2020,1,9,18,0.0,0.0,-999.0,90.0,0.0,72.81,24.46,1.9,143.1,100.77
2020,1,9,19,0.0,0.0,-999.0,90.0,0.0,75.69,23.53,2.07,142.5,100.87
2020,1,9,20,0.0,0.0,-999.0,90.0,0.0,79.89,22.68,1.69,140.3,100.91
2020,1,9,21,0.0,0.0,-999.0,90.0,0.0,83.51,22.07,1.25,136.0,100.91
2020,1,9,22,0.0,0.0,-999.0,90.0,0.0,86.21,21.65,0.86,127.0,100.88
2020,1,9,23,0.0,0.0,-999.0,90.0,0.0,87.78,21.43,0.65,109.0,100.84
2020,1,10,0,0.0,0.0,-999.0,90.0,0.0,88.35,21.2,0.61,87.2,100.79
2020,1,10,1,0.0,0.0,-999.0,90.0,0.0,89.4,20.87,0.63,67.5,100.74
2020,1,10,2,0.0,0.0,-999.0,90.0,0.0,91.15,20.47,0.67,49.9,100.72
2020,1,10,3,0.0,0.0,-999.0,90.0,0.0,92.4,20.17,0.77,41.3,100.74
2020,1,10,4,0.0,0.0,-999.0,90.0,0.0,93.69,19.91,0.88,37.1,100.8
2020,1,10,5,0.0,0.0,-999.0,90.0,0.0,95.04,19.67,0.98,35.0,100.89
2020,1,10,6,0.09,0.11,0.26,85.93,0.0,91.96,20.29,1.63,35.3,101.0
2020,1,10,7,0.51,0.75,0.36,73.45,0.0,79.42,22.58,2.31,40.3,101.1
2020,1,10,8,0.92,1.51,0.38,61.5,0.0,67.09,25.11,2.25,52.8,101.15
2020,1,10,9,1.38,2.16,0.43,50.96,0.0,60.79,26.85,2.1,60.0,101.13
2020,1,10,10,1.53,2.61,0.41,42.91,0.0,55.92,28.43,1.98,64.9,101.05
2020,1,10,11,1.4,2.51,0.36,38.94,0.0,51.99,29.71,1.87,71.0,100.93
2020,1,10,12,1.55,2.47,0.4,40.27,0.0,49.11,30.54,1.79,78.1,100.81
2020,1,10,13,1.65,2.16,0.47,46.45,0.0,47.63,30.85,1.79,86.2,100.71
2020,1,10,14,1.33,1.65,0.47,55.89,0.0,47.84,30.61,1.91,98.7,100.68
2020,1,10,15,0.75,0.99,0.38,67.23,0.0,51.2,29.59,2.15,113.8,100.72
2020,1,10,16,0.29,0.34,0.32,79.65,0.0,61.3,27.72,2.11,125.6,100.79
2020,1,10,17,0.01,0.01,0.21,89.42,0.0,72.14,25.55,2.34,132.9,100.88
2020,1,10,18,0.0,0.0,-999.0,90.0,0.0,77.22,24.54,2.81,133.7,100.99
2020,1,10,19,0.0,0.0,-999.0,90.0,0.0,82.31,23.72,2.69,132.6,101.05
2020,1,10,20,0.0,0.0,-999.0,90.0,0.0,86.39,23.11,2.2,130.2,101.1
2020,1,10,21,0.0,0.0,-999.0,90.0,0.0,89.19,22.68,1.64,125.3,101.1
2020,1,10,22,0.0,0.0,-999.0,90.0,0.0,91.36,22.3,1.28,117.0,101.06
2020,1,10,23,0.0,0.0,-999.0,90.0,0.0,93.29,21.95,1.0,105.7,101.01
2020,1,11,0,0.0,0.0,-999.0,90.0,0.0,95.08,21.62,0.78,94.4,100.97
2020,1,11,1,0.0,0.0,-999.0,90.0,0.0,95.95,21.4,0.63,82.6,100.93
2020,1,11,2,0.0,0.0,-999.0,90.0,0.0,97.21,21.12,0.53,59.6,100.9
2020,1,11,3,0.0,0.0,-999.0,90.0,0.0,98.26,20.85,0.54,44.3,100.9
2020,1,11,4,0.0,0.0,-999.0,90.0,0.0,98.42,20.67,0.64,31.0,100.95
2020,1,11,5,0.0,0.0,-999.0,90.0,0.0,97.82,20.52,0.87,19.5,101.02
2020,1,11,6,0.07,0.1,0.21,85.96,0.0,92.92,21.06,1.6,20.8,101.12
2020,1,11,7,0.48,0.71,0.33,73.47,0.0,82.18,22.83,2.31,31.3,101.23
2020,1,11,8,0.95,1.44,0.39,61.49,0.0,71.51,24.86,2.41,47.2,101.3
2020,1,11,9,1.38,2.07,0.43,50.91,0.0,62.64,26.84,2.34,57.1,101.29
2020,1,11,10,2.13,2.51,0.57,42.82,0.0,55.24,28.58,2.16,62.5,101.23
2020,1,11,11,2.02,2.32,0.51,38.8,0.0,50.9,29.52,2.0,64.2,101.1
2020,1,11,12,1.9,2.28,0.49,40.1,0.0,48.07,30.13,1.88,66.4,100.96
2020,1,11,13,1.7,2.0,0.48,46.28,0.0,46.53,30.39,1.82,70.1,100.84
2020,1,11,14,1.28,1.51,0.45,55.73,0.0,46.26,30.23,1.74,73.3,100.77
2020,1,11,15,0.76,0.91,0.38,67.07,0.0,47.51,29.57,1.67,80.0,100.77
2020,1,11,16,0.28,0.31,0.3,79.5,0.0,57.75,27.96,1.17,94.9,100.81
2020,1,11,17,0.01,0.01,0.19,89.37,0.0,70.04,25.56,1.06,112.7,100.85
2020,1,11,18,0.0,0.0,-999.0,90.0,0.0,72.69,24.55,1.3,117.9,100.93
2020,1,11,19,0.0,0.0,-999.0,90.0,0.0,76.49,23.68,1.43,117.5,101.02
2020,1,11,20,0.0,0.0,-999.0,90.0,0.0,81.41,22.74,1.35,114.1,101.08
2020,1,11,21,0.0,0.0,-999.0,90.0,0.0,86.24,21.9,1.21,108.3,101.1
2020,1,11,22,0.0,0.0,-999.0,90.0,0.0,90.04,21.25,1.04,100.0,101.09
2020,1,11,23,0.0,0.0,-999.0,90.0,0.0,92.99,20.72,0.88,89.3,101.05
2020,1,12,0,0.0,0.0,-999.0,90.0,0.0,95.54,20.24,0.77,74.2,101.0
2020,1,12,1,0.0,0.0,-999.0,90.0,0.0,97.72,19.75,0.7,58.3,100.93
2020,1,12,2,0.0,0.0,-999.0,90.0,0.0,99.19,19.31,0.73,45.6,100.89
2020,1,12,3,0.0,0.0,-999.0,90.0,0.0,99.56,18.96,0.83,36.2,100.9
2020,1,12,4,0.0,0.0,-999.0,90.0,0.0,99.48,18.66,0.95,32.5,100.93
2020,1,12,5,0.0,0.0,-999.0,90.0,0.0,99.5,18.33,1.05,30.2,101.0
2020,1,12,6,0.09,0.1,0.25,85.99,0.0,94.1,18.94,1.62,28.0,101.08
2020,1,12,7,0.57,0.7,0.39,73.49,0.0,81.83,21.26,2.25,37.2,101.17
2020,1,12,8,1.16,1.44,0.48,61.48,0.0,70.18,23.95,2.25,52.2,101.21
2020,1,12,9,1.81,2.1,0.57,50.86,0.0,58.83,26.17,2.25,47.9,101.19
2020,1,12,10,2.38,2.56,0.64,42.72,0.0,49.84,27.95,2.17,42.0,101.09
2020,1,12,11,2.59,2.6,0.65,38.65,0.0,43.69,29.26,1.96,41.1,100.95
2020,1,12,12,2.55,2.56,0.66,39.92,0.0,39.7,30.1,1.68,43.1,100.8
2020,1,12,13,2.25,2.25,0.64,46.1,0.0,37.3,30.46,1.43,49.0,100.68
2020,1,12,14,1.74,1.74,0.61,55.56,0.0,36.44,30.3,1.23,60.7,100.61
2020,1,12,15,1.05,1.06,0.53,66.92,0.0,37.31,29.58,1.11,81.7,100.6
